ID,Delivery Date,Aircraft Model
PH-BFT,1997-01-01,Boeing 747-406BC
VH-OEF,2002-01-01,Boeing 747-438/ER
VH-OEH,2003-01-01,Boeing 747-438/ER
EI-LBS,1998-01-01,Boeing 757-2Q8
EI-CVC,2001-01-01,Airbus A320-214
N732AN,2014-01-01,Boeing 777-323/ER
N122HQ,2007-01-01,Embraer 175LR
N401YX,2013-01-01,Embraer 175LR
N107HQ,2007-01-01,Embraer 175LR
N424YX,2014-01-01,Embraer 175LR
N944UW,2006-01-01,Embraer ERJ-190-100
N912UY,2014-01-01,Airbus A321-231
N924VA,2018-01-01,Airbus A321-253N
N709TW,1997-01-01,Boeing 757-2Q8
N263AK,2016-01-01,Boeing 737-990/ER
EI-LRD,2020-01-01,Airbus A321-253NX
EI-LRC,2019-01-01,Airbus A321-253NX
N871NN,2011-01-01,Boeing 737-823
N813NN,2009-01-01,Boeing 737-823
N866NN,2010-01-01,Boeing 737-823
N771AN,1999-01-01,Boeing 777-223
G-VIIF,1997-01-01,Boeing 777-236
G-XWBD,2019-01-01,Airbus A350-1041
A6-FES,2014-01-01,Boeing 737-8KN
5H-PWD,2009-01-01,ATR 72-212A
5H-PWB,2008-01-01,ATR 72-212A
A6-FEI,2013-01-01,Boeing 737-8KN
G-XWBE,2019-01-01,Airbus A350-1041
G-VIIN,1998-01-01,Boeing 777-236
N640JB,2006-01-01,Airbus A320-232
N913JB,2013-01-01,Airbus A321-231
EI-GCF,2017-01-01,Airbus A330-302
EI-DUZ,2007-01-01,Airbus A330-302
A7-ANS,2020-01-01,Airbus A350-1041
A7-BCT,2015-01-01,Boeing 787-8
A7-BAY,2013-01-01,Boeing 777-3DZ/ER
N954JB,2015-01-01,Airbus A321-231
N195UW,2008-01-01,Airbus A321-211
N990AN,2009-01-01,Boeing 737-823
N576UW,2014-01-01,Airbus A321-231
N184US,2002-01-01,Airbus A321-211
N536UW,2009-01-01,Airbus A321-231
N947NN,2014-01-01,Boeing 737-823
N374JB,2013-01-01,Embraer ERJ-190-100
N306JB,2009-01-01,Embraer ERJ-190-100
N949JT,2015-01-01,Airbus A321-231
N970JB,2016-01-01,Airbus A321-231
N560AS,2006-01-01,Boeing 737-890
N734AR,2015-01-01,Boeing 777-323ER
N768AA,2006-01-01,Boeing 777-223
G-STBN,2020-01-01,Boeing 777-300/ER
G-EUUO,2003-01-01,Airbus A320-232
G-NEOT,2019-01-01,Airbus A321-251NX
EI-DPY,2007-01-01,Boeing 737-8AS
EI-DLE,2006-01-01,Boeing 737-8AS
G-LCAE,2012-01-01,Embraer ERJ
G-EUYP,2013-01-01,Airbus A320-232
EI-DVI,2008-01-01,Airbus A320-214
EI-DEN,2005-01-01,Airbus A320-214
G-EUPN,2000-01-01,Airbus A319-131
